Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
AOTU042,1,5.0,4,2.0833333333333335
CB1892,2,6.5,4,4.166666666666667
CB2413,1,5.0,4,2.0833333333333335
CRE100,3,5.666666666666667,2,12.5
DNa03,36,34.25,2,150.0
DNb01,5,5.6,4,10.416666666666666
FB5A,6,5.666666666666667,4,12.5
LAL010,17,10.0,2,70.83333333333333
LAL014,22,11.954545454545455,2,91.66666666666667
LAL046,25,12.28,2,104.16666666666667
LAL052,25,17.28,2,104.16666666666667
LAL073,32,17.15625,2,133.33333333333334
"LAL074,LAL084",18,7.111111111111111,4,37.5
LAL075,20,11.2,2,83.33333333333333
LAL076,36,18.27777777777778,2,150.0
LAL090,34,7.794117647058823,8,35.416666666666664
LAL119,1,6.0,2,4.166666666666667
LAL120,13,9.153846153846153,4,27.083333333333332
LAL127,38,7.7105263157894735,4,79.16666666666667
LAL131,3,7.666666666666667,4,6.25
LAL137,6,7.0,2,25.0
LAL142,1,7.0,2,4.166666666666667
LAL159,1,6.0,2,4.166666666666667
"LAL160,LAL161",1,6.0,4,2.0833333333333335
"LAL163,LAL164",43,10.116279069767442,4,89.58333333333333
LAL175,14,6.571428571428571,4,29.166666666666668
MDN,12,6.0,4,25.0
PS010,27,14.555555555555555,2,112.5
PS018,18,7.944444444444445,4,37.5
VES015,29,11.758620689655173,2,120.83333333333333
VES041,4,5.75,2,16.666666666666668
VES059,8,5.75,2,33.333333333333336
cL06,27,10.851851851851851,2,112.5
