Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB7B0,1,7.0,5,0.31746031746031744
CB.FB7D0,1,5.0,10,0.15873015873015872
CB1897,1,5.0,7,0.22675736961451248
CB3779,1,6.0,2,0.7936507936507936
DGI,14,6.285714285714286,2,11.11111111111111
"FB5C,FB5F,FB5G,FB5P,FB5Q",1,6.0,24,0.06613756613756613
FB6K,1,5.0,5,0.31746031746031744
FB7J,2,5.5,4,0.7936507936507936
SMP010,2,5.0,2,1.5873015873015872
SMP011,4,5.25,4,1.5873015873015872
SMP178,1,6.0,2,0.7936507936507936
SMP188,1,5.0,2,0.7936507936507936
SMP234,8,5.625,2,6.349206349206349
SMP337,1,7.0,2,0.7936507936507936
SMP386,4,6.75,2,3.1746031746031744
SMP408_d,4,5.0,10,0.6349206349206349
SMP589,1,5.0,2,0.7936507936507936
hDeltaD,1,5.0,8,0.1984126984126984
hDeltaE,3,5.666666666666667,8,0.5952380952380952
hDeltaF,1,7.0,8,0.1984126984126984
hDeltaL,3,6.333333333333333,12,0.3968253968253968
