Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB6E4,13,5.230769230769231,8,2.5793650793650795
CB.FB7D0,19,6.052631578947368,10,3.015873015873016
FB1G,6,5.333333333333333,2,4.761904761904762
FB5A,43,6.441860465116279,4,17.063492063492063
FB7G,3,6.0,2,2.380952380952381
hDeltaB,25,7.72,18,2.2045855379188715
hDeltaD,17,6.647058823529412,8,3.373015873015873
hDeltaE,39,8.76923076923077,8,7.738095238095238
hDeltaF,44,8.25,8,8.73015873015873
hDeltaG,15,6.8,8,2.9761904761904763
hDeltaL,60,9.25,12,7.936507936507937
