Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
"CB.FB3,4L1",1,5.0,8,0.1984126984126984
CB.FB6E3,1,5.0,7,0.22675736961451248
CB.FB6E4,13,5.230769230769231,8,2.5793650793650795
CB.FB7D0,19,6.052631578947368,10,3.015873015873016
CB.FB7E1,1,6.0,6,0.26455026455026454
CB1443,2,5.5,6,0.5291005291005291
ExR1,1,5.0,4,0.3968253968253968
ExR7,1,6.0,4,0.3968253968253968
FB1G,6,5.333333333333333,2,4.761904761904762
FB4K,1,5.0,4,0.3968253968253968
FB5A,43,6.441860465116279,4,17.063492063492063
"FB5C,FB5F,FB5G,FB5P,FB5Q",1,5.0,24,0.06613756613756613
FB7E,1,8.0,5,0.31746031746031744
FB7G,3,6.0,2,2.380952380952381
FB7L,6,5.833333333333333,5,1.9047619047619047
"FB8A,FB8H",8,6.0,17,0.7469654528478058
FB8G,4,5.75,6,1.0582010582010581
FB8I,2,6.5,6,0.5291005291005291
"PFNm,PFNp",1,5.0,321,0.00494486475794887
SMP160,1,6.0,4,0.3968253968253968
SMP542,1,5.0,2,0.7936507936507936
hDeltaB,25,7.72,18,2.2045855379188715
hDeltaD,17,6.647058823529412,8,3.373015873015873
hDeltaE,39,8.76923076923077,8,7.738095238095238
hDeltaF,44,8.25,8,8.73015873015873
hDeltaG,15,6.8,8,2.9761904761904763
hDeltaK,1,5.0,31,0.051203277009728626
hDeltaL,60,9.25,12,7.936507936507937
